_key,season,home_team_name,away_team_name,half_time_score,full_time_score,full_time_result,home_GK_name,home_GK_assistence,home_GK_won_contest,home_GK_tackles,home_GK_goals,home_GK_red_card,home_GK_yellow_card,home_GK_touches,home_GK_lost,home_GK_rate,home_GK_fouls,home_GK_blocks,home_DC_name,home_DC_assistence,home_DC_won_contest,home_DC_tackles,home_DC_goals,home_DC_red_card,home_DC_yellow_card,home_DC_touches,home_DC_lost,home_DC_rate,home_DC_fouls,home_DC_blocks,home_DR_name,home_DR_assistence,home_DR_won_contest,home_DR_tackles,home_DR_goals,home_DR_red_card,home_DR_yellow_card,home_DR_touches,home_DR_lost,home_DR_rate,home_DR_fouls,home_DR_blocks,home_DL_name,home_DL_assistence,home_DL_won_contest,home_DL_tackles,home_DL_goals,home_DL_red_card,home_DL_yellow_card,home_DL_touches,home_DL_lost,home_DL_rate,home_DL_fouls,home_DL_blocks,home_DMC_name,home_DMC_assistence,home_DMC_won_contest,home_DMC_tackles,home_DMC_goals,home_DMC_red_card,home_DMC_yellow_card,home_DMC_touches,home_DMC_lost,home_DMC_rate,home_DMC_fouls,home_DMC_blocks,home_ML_name,home_ML_assistence,home_ML_won_contest,home_ML_tackles,home_ML_goals,home_ML_red_card,home_ML_yellow_card,home_ML_touches,home_ML_lost,home_ML_rate,home_ML_fouls,home_ML_blocks,home_MR_name,home_MR_assistence,home_MR_won_contest,home_MR_tackles,home_MR_goals,home_MR_red_card,home_MR_yellow_card,home_MR_touches,home_MR_lost,home_MR_rate,home_MR_fouls,home_MR_blocks,home_MC_name,home_MC_assistence,home_MC_won_contest,home_MC_tackles,home_MC_goals,home_MC_red_card,home_MC_yellow_card,home_MC_touches,home_MC_lost,home_MC_rate,home_MC_fouls,home_MC_blocks,home_FW_name,home_FW_assistence,home_FW_won_contest,home_FW_tackles,home_FW_goals,home_FW_red_card,home_FW_yellow_card,home_FW_touches,home_FW_lost,home_FW_rate,home_FW_fouls,home_FW_blocks,home_Sub_name,home_Sub_assistence,home_Sub_won_contest,home_Sub_tackles,home_Sub_goals,home_Sub_red_card,home_Sub_yellow_card,home_Sub_touches,home_Sub_lost,home_Sub_rate,home_Sub_fouls,home_Sub_blocks,home_AMC_name,home_AMC_assistence,home_AMC_won_contest,home_AMC_tackles,home_AMC_goals,home_AMC_red_card,home_AMC_yellow_card,home_AMC_touches,home_AMC_lost,home_AMC_rate,home_AMC_fouls,home_AMC_blocks,home_AMR_name,home_AMR_assistence,home_AMR_won_contest,home_AMR_tackles,home_AMR_goals,home_AMR_red_card,home_AMR_yellow_card,home_AMR_touches,home_AMR_lost,home_AMR_rate,home_AMR_fouls,home_AMR_blocks,home_AML_name,home_AML_assistence,home_AML_won_contest,home_AML_tackles,home_AML_goals,home_AML_red_card,home_AML_yellow_card,home_AML_touches,home_AML_lost,home_AML_rate,home_AML_fouls,home_AML_blocks,home_DMR_name,home_DMR_assistence,home_DMR_won_contest,home_DMR_tackles,home_DMR_goals,home_DMR_red_card,home_DMR_yellow_card,home_DMR_touches,home_DMR_lost,home_DMR_rate,home_DMR_fouls,home_DMR_blocks,home_DML_name,home_DML_assistence,home_DML_won_contest,home_DML_tackles,home_DML_goals,home_DML_red_card,home_DML_yellow_card,home_DML_touches,home_DML_lost,home_DML_rate,home_DML_fouls,home_DML_blocks,home_FWR_name,home_FWR_assistence,home_FWR_won_contest,home_FWR_tackles,home_FWR_goals,home_FWR_red_card,home_FWR_yellow_card,home_FWR_touches,home_FWR_lost,home_FWR_rate,home_FWR_fouls,home_FWR_blocks,home_FWL_name,home_FWL_assistence,home_FWL_won_contest,home_FWL_tackles,home_FWL_goals,home_FWL_red_card,home_FWL_yellow_card,home_FWL_touches,home_FWL_lost,home_FWL_rate,home_FWL_fouls,home_FWL_blocks
0,14-15,Arsenal,Crystal Palace,1 : 1,2 : 1,H,Wojciech Szczesny,,,,,,,20,,5.81,,1,Laurent Koscielny,,,2,1,,,80,1,8.18,,,Mathieu Debuchy,,,5,,,,92,3,7.39,2,,Kieran Gibbs,,,1,,,,44,,6.21,1,,Mikel Arteta,,,4,,,,120,2,7.61,2,,Santi Cazorla,,5,1,,,1,107,1,7.74,1,,Alexis Sanchez,1,3,3,,,,102,1,7.8,5,,Jack Wilshere,,,1,,,,69,,6.53,,,Yaya Sanogo,,2,,,,,22,2,6.42,,,Francis Coquelin,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14-15,Burnley,Chelsea,1 : 3,1 : 3,A,Tom Heaton,,,,,,,33,,5.29,,,Michael Duff,,,1,,,,61,2,6.5,,,Kieran Trippier,,,1,,,,73,1,6.02,1,,Ben Mee,,,1,,,,70,2,6.56,,,,,,,,,,,,,,,Matthew Taylor,1,,1,,,,34,3,6.87,1,,Scott Arfield,,2,1,1,,,45,,7.61,,,David Jones,,,2,,,,54,2,6.28,1,,Lukas Jutkiewicz,,,,,,,34,4,6.31,2,,Ashley Barnes,,,,,,,8,2,6.07,,,Danny Ings,,1,,,,,41,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14-15,Leicester,Everton,1 : 2,2 : 2,D,Kasper Schmeichel,,,,,,,37,,6.39,,1,Wes Morgan,,,,,,,47,2,7.24,,,Ritchie de Laet,,,3,,,,64,,6.99,2,,Paul Konchesky,,,1,,,,52,1,6.51,1,,,,,,,,,,,,,,Anthony Knockaert,,1,,,,,35,,6.17,1,,Riyad Mahrez,,2,1,,,,55,2,6.96,,,Daniel Drinkwater,,,1,,,,26,,6.24,2,,David Nugent,,,1,,,,35,3,6.7,1,,Tom Hopper,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14-15,Liverpool,Southampton,1 : 0,2 : 1,H,Simon Mignolet,,,,,,,45,,7.1,,5,Dejan Lovren,,,1,,,,86,5,7.62,1,,Javier Manquillo,,,6,,,1,109,1,7.7,1,,Glen Johnson,,1,,,,,78,,6.61,1,,Steven Gerrard,,,1,,,,79,1,6.74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Sturridge,,3,,1,,,40,,7.71,1,,Joe Allen,,1,,,,,27,,6.32,1,,Philippe Coutinho,,3,,,,,58,,6.71,,,Jordan Henderson,1,1,3,,,,74,1,7.68,1,,Raheem Sterling,1,5,2,1,,,71,,8.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14-15,Manchester United,Swansea,0 : 1,1 : 2,A,David de Gea,,,,,,,26,,5.79,,2,Tyler Blackett,,,,,,1,97,,6.38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashley Young,,,3,,,1,72,,6.83,3,,Jesse Lingard,,,1,,,,29,,6.32,1,,Darren Fletcher,,1,1,,,,63,,6.73,,,Chicharito,,1,,,,,14,3,6.19,2,,Michael Keane,,,,,,,,,0,,,Juan Mata,,,1,,,,68,1,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14-15,Newcastle United,Manchester City,0 : 1,0 : 2,A,Tim Krul,,,,,,,44,,6.58,,3,Mike Williamson,,,2,,,,60,2,7.05,,,Daryl Janmaat,,,3,,,1,78,,6.04,2,,Paul Dummett,,1,,,,,57,1,6.13,,,Vurnon Anita,,,,,,,33,1,6.1,,,Yoan Gouffran,,,4,,,,43,3,6.31,,,Rémy Cabella,,4,4,,,,80,2,7.1,2,,Jack Colback,,1,3,,,,64,1,7.12,3,,Emmanuel Rivière,,2,2,,,,39,1,6.72,,,Steven Taylor,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14-15,Queens Park Rangers,Hull,0 : 0,0 : 1,A,Robert Green,,,,,,,28,,6.88,,3,Richard Dunne,,1,,,,1,52,2,6.68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joey Barton,,,,,,,79,1,7.29,2,,Loïc Remy,,3,,,,,46,2,7.25,1,,Brian Murphy,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Simpson,,,,,,,37,,6.05,,,Armand Traore,,,3,,,,61,,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14-15,Stoke,Aston Villa,0 : 0,0 : 1,A,Asmir Begovic,,,,,,,30,,5.73,,,Ryan Shawcross,,1,2,,,,89,,7.91,,,Phil Bardsley,,,3,,,,59,1,6.65,,,Erik Pieters,,1,5,,,,91,,8.25,2,,Glenn Whelan,,1,4,,,,69,,6.96,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mame Biram Diouf,,,2,,,,27,3,6.59,2,,Thomas Sørensen,,,,,,,,,0,,,Stephen Ireland,,,,,,,40,,6.72,2,,Bojan,,3,1,,,,61,2,6.47,1,,Marko Arnautovic,,1,1,,,,73,2,6.34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14-15,West Bromwich Albion,Sunderland,1 : 1,2 : 2,D,Ben Foster,,,,,,,28,,5.51,,,Jonas Olsson,,,1,,,1,64,,6.63,1,,Andre Wisdom,,,1,,,,67,1,6.28,,,Sébastien Pocognoli,,1,3,,,,55,1,6.84,2,,,,,,,,,,,,,,Chris Brunt,,,2,,,,42,4,6.38,2,,Graham Dorrans,,,,,,1,55,1,6.51,3,,Youssouf Mulumbu,,1,3,,,,83,1,6.93,2,,Victor Anichebe,,,,,,,33,1,6.82,,,Brown Ideye,,,,,,,,,0,,,Saido Berahino,,2,3,2,,,55,2,7.91,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14-15,West Ham,Tottenham,0 : 0,0 : 1,A,Adrian,,,,,,,33,,6.91,,4,James Collins,,,,,1,,45,,6.7,3,,Joey OBrien,,,1,,,,42,,7.02,,,Aaron Cresswell,,,2,,,,70,,6.48,,,Mark Noble,,2,5,,,,100,,7.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlton Cole,,,,,,,30,4,5.66,2,,Diego Poyet,,,,,,,,,0,,,Kevin Nolan,,,,,,,43,1,6.57,,,Stewart Downing,,1,,,,,62,,7.25,1,,Ricardo Vaz Tê,,,,,,,44,1,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
